symbol,sector_group
PPC,ICB2:7500
PPE,ICB2:2700
PPP,ICB2:4500
PPS,ICB2:2700
PPT,ICB2:7500
PPY,ICB2:7500
PRC,ICB2:2700
PRE,ICB2:8500
PSC,ICB2:2700
PSD,ICB2:5300
PSE,ICB2:1300
PSI,ICB2:8700
PSW,ICB2:1300
PTB,ICB2:1700
PTC,ICB2:2300
PTD,ICB2:2300
PTI,ICB2:8500
PTL,ICB2:8600
PTS,ICB2:2700
PTX,ICB2:7500
PV2,ICB2:8600
PVB,ICB2:0500
PVC,ICB2:0500
PVD,ICB2:0500
PVG,ICB2:7500
PVI,ICB2:8500
PVP,ICB2:2700
PVS,ICB2:0500
PVT,ICB2:2700
QCG,ICB2:8600
QHD,ICB2:2700
QNP,ICB2:2700
QST,ICB2:5500
QTC,ICB2:2300
RAL,ICB2:3700
RCL,ICB2:8600
REE,ICB2:7500
RYG,ICB2:2300
S4A,ICB2:7500
S55,ICB2:2300
S99,ICB2:2300
SAB,ICB2:3500
SAF,ICB2:3500
SAM,ICB2:9500
SAV,ICB2:1700
SBA,ICB2:7500
SBG,ICB2:2700
SBT,ICB2:3500
SBV,ICB2:5300
SC5,ICB2:2300
SCG,ICB2:2300
SCI,ICB2:2300
SCR,ICB2:8600
SCS,ICB2:5700
SD5,ICB2:2300
SD9,ICB2:2300
SDC,ICB2:2700
SDG,ICB2:2700
SDN,ICB2:2300
SDU,ICB2:2300
SEB,ICB2:7500
SED,ICB2:5500
SFC,ICB2:7500
SFG,ICB2:1300
SFI,ICB2:2700
SFN,ICB2:2700
SGC,ICB2:3500
SGD,ICB2:5500
SGH,ICB2:5700
SGN,ICB2:2700
SGR,ICB2:8600
SGT,ICB2:9500
SHA,ICB2:1700
SHB,ICB2:8300
SHE,ICB2:3700
SHI,ICB2:1700
SHN,ICB2:1700
SHP,ICB2:7500
SHS,ICB2:8700
SIP,ICB2:8600
SJ1,ICB2:3500
SJD,ICB2:7500
SJE,ICB2:2300
SJS,ICB2:8600
SKG,ICB2:5700
SLS,ICB2:3500
SMA,ICB2:7500
SMB,ICB2:3500
SMC,ICB2:1700
SMN,ICB2:5500
SMT,ICB2:9500
SPC,ICB2:1300
SPM,ICB2:4500
SRA,ICB2:4500
SRC,ICB2:3300
SRF,ICB2:2700
SSB,ICB2:8300
SSC,ICB2:3500
SSI,ICB2:8700
SSM,ICB2:1700
ST8,ICB2:9500
STB,ICB2:8300
