date,branch,cash,equity,positions
2024-05-22,TFM,85465620.53034943,113310403.34284943,3
2024-05-23,TFM,85465620.53034943,114152596.31159943,3
2024-05-24,TFM,85465620.53034943,113789155.68659943,3
2024-05-27,TFM,85465620.53034943,113897208.81159943,3
2024-05-28,TFM,85465620.53034943,114439788.49909943,3
2024-05-29,TFM,85465620.53034943,114226490.06159943,3
2024-05-30,TFM,85465620.53034943,114358560.37409943,3
2024-05-31,TFM,85465620.53034943,114303314.28034943,3
2024-06-04,TFM,85465620.53034943,114873579.12409943,3
2024-06-05,TFM,85465620.53034943,114814193.18659943,3
2024-06-06,TFM,85465620.53034943,114781386.15534943,3
2024-06-07,TFM,85465620.53034943,114862860.37409943,3
2024-06-10,TFM,85465620.53034943,115239089.28034943,3
2024-06-11,TFM,85465620.53034943,115733125.21784943,3
2024-06-12,TFM,85465620.53034943,116213881.46784943,3
2024-06-13,TFM,85465620.53034943,115829968.18659943,3
2024-06-14,TFM,85465620.53034943,115306925.21784943,3
2024-06-17,TFM,85465620.53034943,114835620.53034943,3
2024-06-18,TFM,97668915.83034943,115019350.98659943,2
2024-06-19,TFM,97668915.83034943,115433698.64284943,2
2024-06-20,TFM,97668915.83034943,115610220.51784943,2
2024-06-21,TFM,97668915.83034943,115853698.64284943,2
2024-06-24,TFM,97668915.83034943,115355872.08034943,2
2024-06-25,TFM,97668915.83034943,115173263.48659943,2
2024-06-26,TFM,97668915.83034943,115389785.36159943,2
2024-06-27,TFM,97668915.83034943,115556741.61159943,2
2024-06-28,TFM,97668915.83034943,115256741.61159943,2
2024-07-01,TFM,97668915.83034943,115431524.42409943,2
2024-07-02,TFM,97668915.83034943,115399350.98659943,2
2024-07-03,TFM,97668915.83034943,115610220.51784943,2
2024-07-04,TFM,97668915.83034943,115987611.14284943,2
2024-07-05,TFM,88871349.24534944,116282218.77659944,3
2024-07-08,TFM,88871349.24534944,117010479.71409944,3
2024-07-09,TFM,88871349.24534944,116707871.12034944,3
2024-07-10,TFM,88871349.24534944,116353523.46409944,3
2024-07-11,TFM,88871349.24534944,116276566.43284944,3
2024-07-12,TFM,88871349.24534944,116246132.05784944,3
2024-07-15,TFM,88871349.24534944,116440479.71409944,3
2024-07-16,TFM,88871349.24534944,116353523.46409944,3
2024-07-17,TFM,88871349.24534944,115690914.08909944,3
2024-07-18,TFM,95202307.18284944,115824046.24534944,2
2024-07-19,TFM,106351381.92907894,115731381.92907894,1
2024-07-22,TFM,106351381.92907894,115621381.92907894,1
2024-07-23,TFM,106351381.92907894,115451381.92907894,1
2024-07-24,TFM,106351381.92907894,115651381.92907894,1
2024-07-25,TFM,106351381.92907894,115621381.92907894,1
2024-07-26,TFM,106351381.92907894,115911381.92907894,1
2024-07-29,TFM,106351381.92907894,115911381.92907894,1
2024-07-30,TFM,106351381.92907894,115771381.92907894,1
2024-07-31,TFM,106351381.92907894,115531381.92907894,1
2024-08-01,TFM,106351381.92907894,115411381.92907894,1
2024-08-02,TFM,106351381.92907894,115851381.92907894,1
2024-08-05,TFM,106351381.92907894,115451381.92907894,1
2024-08-06,TFM,106351381.92907894,115751381.92907894,1
2024-08-07,TFM,99016736.43907894,115956736.43907894,2
2024-08-08,TFM,99016736.43907894,115796736.43907894,2
2024-08-09,TFM,91196056.3946559,115893047.0196559,3
2024-08-12,TFM,91196056.3946559,116118711.8634059,3
2024-08-13,TFM,91196056.3946559,116103528.2696559,3
2024-08-14,TFM,91196056.3946559,116241120.4571559,3
2024-08-15,TFM,91196056.3946559,116104973.5821559,3
2024-08-16,TFM,91196056.3946559,116558230.6134059,3
2024-08-19,TFM,91196056.3946559,116919079.0509059,3
2024-08-20,TFM,91196056.3946559,116689079.0509059,3
2024-08-21,TFM,91196056.3946559,116576671.2384059,3
2024-08-22,TFM,91196056.3946559,116459079.0509059,3
2024-08-23,TFM,91196056.3946559,116548116.5509059,3
2024-08-26,TFM,91196056.3946559,116260524.3634059,3
2024-08-27,TFM,91196056.3946559,116313895.4571559,3
2024-08-28,TFM,91196056.3946559,116442450.9259059,3
2024-08-29,TFM,91196056.3946559,116244377.4884059,3
2024-08-30,TFM,91196056.3946559,116234858.7384059,3
2024-09-04,TFM,91196056.3946559,116011968.8946559,3
2024-09-05,TFM,91196056.3946559,115804858.7384059,3
2024-09-06,TFM,100298677.80715589,115843627.02590589,2
2024-09-09,TFM,100298677.80715589,115840737.96340589,2
2024-09-10,TFM,100298677.80715589,115793627.02590589,2
2024-09-11,TFM,100298677.80715589,115716035.61965589,2
2024-09-12,TFM,100298677.80715589,115726035.61965589,2
2024-09-13,TFM,100298677.80715589,114802269.99465589,2
2024-09-16,TFM,100298677.80715589,114537221.55715589,2
2024-09-17,TFM,114504493.73658559,114504493.73658559,0
2024-09-18,TFM,114504493.73658559,114504493.73658559,0
2024-09-19,TFM,102121206.79969643,114566191.17469643,1
2024-09-20,TFM,102121206.79969643,114566191.17469643,1
2024-09-23,TFM,102121206.79969643,114531621.83875893,1
2024-09-24,TFM,102121206.79969643,114583475.35438393,1
2024-09-25,TFM,102121206.79969643,114566191.17469643,1
2024-09-26,TFM,75517130.48530869,114599790.05562119,2
2024-09-27,TFM,75517130.48530869,114807206.07124619,2
2024-09-30,TFM,75517130.48530869,114789921.89155869,2
2024-10-01,TFM,75517130.48530869,114582804.50874619,2
2024-10-02,TFM,75517130.48530869,114461512.71187119,2
2024-10-03,TFM,75517130.48530869,114324431.85249619,2
2024-10-04,TFM,75517130.48530869,113704573.25874619,2
2024-10-07,TFM,75517130.48530869,113876821.69624619,2
2024-10-08,TFM,75517130.48530869,113859536.53999619,2
2024-10-09,TFM,75517130.48530869,114392972.28218369,2
2024-10-10,TFM,75517130.48530869,114307146.69624619,2
2024-10-11,TFM,67481084.47030869,114467224.89999619,3
